"Title","Url","LocalFile"
"企业会计准则第8号——资产减值","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46240.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第8号-资产减值.html"
"企业会计准则第6号——无形资产","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46242.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第6号-无形资产.html"
"企业会计准则第38号——首次执行企业会计准则","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46243.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第38号-首次执行企业会计准则.html"
"企业会计准则第37号——金融工具列报（财会〔2014〕23号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46244.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第37号-金融工具列报-财会〔2014〕23号.html"
"企业会计准则第36号——关联方披露","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46245.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第36号-关联方披露.html"
"企业会计准则第35号——分部报告","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46246.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第35号-分部报告.html"
"企业会计准则第34号——每股收益","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46247.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第34号-每股收益.html"
"企业会计准则第33号——合并财务报表","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46248.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第33号-合并财务报表.html"
"企业会计准则第32号——中期财务报告","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46249.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第32号-中期财务报告.html"
"企业会计准则第31号——现金流量表","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46250.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第31号-现金流量表.html"
"企业会计准则第39号——公允价值计量","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602631.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第39号-公允价值计量.html"
"企业会计准则第40号——合营安排","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602633.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第40号-合营安排.html"
"企业会计准则第41号——在其他主体中权益的披露","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602637.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第41号-在其他主体中权益的披露.html"
"企业会计准则第14号——收入","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694006.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第14号-收入.html"
"企业会计准则第37号——金融工具列报（财会〔2017〕14号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694118.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第37号-金融工具列报-财会〔2017〕14号.html"
"企业会计准则第42号——持有待售的非流动资产、处置组和终止经营","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694145.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第42号-持有待售的非流动资产-处置组和终止经营.html"
"企业会计准则第24号——套期会计（财会〔2017〕9号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694624.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第24号-套期会计-财会〔2017〕9号.html"
"企业会计准则第23号——金融资产转移（财会〔2017〕8号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694626.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第23号-金融资产转移-财会〔2017〕8号.html"
"企业会计准则第22号——金融工具确认和计量（财会〔2017〕7号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694655.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第22号-金融工具确认和计量-财会〔2017〕7号.html"
"企业会计准则第7号——非货币性资产交换","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201909/t20190911_3384679.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第7号-非货币性资产交换.html"
"企业会计准则第12号——债务重组","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201910/t20191028_3410789.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第12号-债务重组.html"
"企业会计准则第21号——租赁","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201910/t20191028_3411190.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第21号-租赁.html"
"企业会计准则第25号——保险合同（财会〔2020〕20号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/202202/t20220224_3790240.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\standards-pages\企业会计准则第25号-保险合同-财会〔2020〕20号.html"
