"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","企业会计准则","企业会计准则第24号——套期保值（财会〔2006〕3号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46224.htm","raw/standards/accounting/standards-pages/企业会计准则第24号-套期保值-财会〔2006〕3号.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第24号——套期会计（财会〔2017〕9号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170908_2694624.htm","raw/standards/accounting/standards-pages/企业会计准则第24号-套期会计-财会〔2017〕9号.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第25号——保险合同（财会〔2020〕20号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/202202/t20220224_3790240.htm","raw/standards/accounting/standards-pages/企业会计准则第25号-保险合同-财会〔2020〕20号.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第25号——原保险合同（财会〔2006〕3号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46223.htm","raw/standards/accounting/standards-pages/企业会计准则第25号-原保险合同-财会〔2006〕3号.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第26号——再保险合同（财会〔2006〕3号）","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46222.htm","raw/standards/accounting/standards-pages/企业会计准则第26号-再保险合同-财会〔2006〕3号.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第27号——石油天然气开采","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46221.htm","raw/standards/accounting/standards-pages/企业会计准则第27号-石油天然气开采.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第28号——会计政策、会计估计变更和差错更正","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46220.htm","raw/standards/accounting/standards-pages/企业会计准则第28号-会计政策-会计估计变更和差错更正.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第29号——资产负债表日后事项","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46219.htm","raw/standards/accounting/standards-pages/企业会计准则第29号-资产负债表日后事项.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第2号——长期股权投资","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46215.htm","raw/standards/accounting/standards-pages/企业会计准则第2号-长期股权投资.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第30号——财务报表列报","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46218.htm","raw/standards/accounting/standards-pages/企业会计准则第30号-财务报表列报.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
