"Title","Date","Url"
"中国注册会计师协会关于印发《中国注册会计师审计准则问题解答第1号——职业怀疑》等五项审计准则问题解答征求意见稿的通知","2019-10-21","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201910/t20191021_60587.html"
"中注协就“职业怀疑”等五项审计准则问题解答修订文本公开征求意见","2019-10-21","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201910/t20191021_60588.html"
"财政部关于印发《中国注册会计师审计准则第1101号——注册会计师的总体目标和审计工作的基本要求》等18项审计准则的通知","2019-04-10","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201904/t20190410_60584.html"
"中国注册会计师协会关于印发《<中国注册会计师审计准则第1101号——注册会计师的总体目标和审计工作的基本要求>应用指南》等24项应用指南的通知","2019-04-10","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201904/t20190410_60585.html"
"新修订的18项审计准则及应用指南发布","2019-04-10","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201904/t20190410_60586.html"
"中注协就“特殊目的财务报表审计”等三项审计准则及其应用指南修订文本公开征求意见","2019-01-24","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201901/t20190124_60582.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1601号——对按照特殊目的编制基础编制的财务报表审计的特殊考虑》等3项审计准则及其应用指南征求意见稿的通知","2019-01-24","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201901/t20190124_60583.html"
"中国注册会计师协会关于印发“利用内部审计人员的工作”等三方面准则项目修订文本征求意见稿的通知","2018-08-17","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/202104/t20210421_60986.html"
"中注协就“利用内部审计人员的工作”等三方面审计准则项目修订文本征求意见","2018-08-17","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201808/t20180817_60581.html"
"中注协关于印发中国注册会计师审计准则问题解答第14号、第15号的通知","2018-04-24","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201804/t20180424_60579.html"
"中注协针对新审计报告准则实施发布相关问题解答","2018-04-24","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201804/t20180424_60580.html"
"中注协秘书长陈毓圭就新审计报告准则全面实施答记者问","2018-01-04","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201801/t20180104_60578.html"
"中注协关于印发《<中国注册会计师审计准则第1504号——在审计报告中沟通关键审计事项>应用指南》等16项应用指南的通知","2017-03-20","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201703/t20170320_60576.html"
"中国注册会计师协会发布新审计报告准则应用指南","2017-03-20","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201703/t20170320_60577.html"
"新审计报告准则发布","2016-12-28","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201612/t20161228_60575.html"
"财政部关于印发《中国注册会计师审计准则第1504号——在审计报告中沟通关键审计事项》等12项准则的通知","2016-12-28","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201612/t20161228_60574.html"
"中注协发布审计报告相关准则征求意见稿","2016-01-08","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201601/t20160108_60573.html"
"中注协关于印发《中国注册会计师审计准则第1504号——在审计报告中沟通关键审计事项》等7项审计准则征求意见稿的通知","2016-01-08","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201601/t20160108_60572.html"
"中注协关于印发《中国注册会计师审计准则问题解答第7号——会计分录测试》等七项审计准则问题解答的通知","2015-01-05","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201501/t20150105_60570.html"
"中注协发布七项审计准则问题解答","2015-01-05","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201501/t20150105_60571.html"
"中注协关于印发《企业内部控制审计问题解答（征求意见稿）》的通知","2013-12-16","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201312/t20131216_60568.html"
"中注协发布企业内部控制审计问题解答征求意见稿","2013-12-16","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201312/t20131216_60569.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则问题解答第7号——会计分录测试》等七项问题解答征求意见稿的通知","2013-11-04","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201311/t20131104_60566.html"
"中注协发布第二批审计准则问题解答征求意见稿","2013-11-04","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201311/t20131104_60567.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则问题解答第1号——职业怀疑》等六项审计准则问题解答的通知","2013-11-01","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201311/t20131101_60564.html"
"中注协发布6项审计准则问题解答","2013-11-01","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201311/t20131101_60565.html"
"中注协关于印发《中国注册会计师审计准则问题解答第1号——职业怀疑》等六项问题解答征求意见稿的通知","2013-03-08","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201303/t20130308_60563.html"
"财政部关于印发《中国注册会计师审计准则第1101号——注册会计师的总体目标和审计工作的基本要求》等38项准则的通知","2011-10-24","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60554.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1101号——注册会计师的总体目标和审计工作的基本要求》等38项审计准则征求意见稿的通知","2010-08-25","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60558.html"
"中注协发布第四批九项审计准则的修订征求意见稿","2010-01-28","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60559.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1141号——财务报表审计中与舞弊相关的责任》等九项审计准则征求意见稿的通知","2010-01-28","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60560.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1121号——对财务报表审计实施的质量控制》等十项审计准则征求意见稿的通知","2010-01-18","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60561.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1111号——就审计业务约定条款达成一致意见》等十项审计准则征求意见稿的通知","2009-12-31","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60562.html"
"中国注册会计师协会关于印发《中国注册会计师审计准则第1101号——注册会计师的总体目标和按照审计准则执行审计工作的要求》等九项审计准则征求意见稿的通知","2009-12-11","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/200912/t20091211_60553.html"
"中国注册会计师执业准则指南简介","2007-01-09","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60557.html"
"中注协发布中国注册会计师执业准则指南","2007-01-09","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60556.html"
"财政部关于印发中国注册会计师执业准则的通知","2007-01-09","https://www.cicpa.org.cn/ztzl1/Professional_standards/Professional_guidelines/201211/t20121104_60555.html"
